STATE CODE,STATE,PC NO,PARLIAMENTARY CONSTITUENCY,Total voters,Total_Electors,TOT_CONTESTANT,POLL PERCENTAGE
S24,Uttar Pradesh,55,Ambedkar Nagar,811692,1494838,22,54.3
S24,Uttar Pradesh,56,Bahraich,512701,1246823,13,41.12
S24,Uttar Pradesh,57,Kaiserganj,565659,1376267,23,41.1
S24,Uttar Pradesh,58,Shrawasti,605386,1405884,11,43.06
S24,Uttar Pradesh,59,Gonda,606079,1341455,25,45.18
S24,Uttar Pradesh,60,Domariyaganj,738083,1499679,16,49.22
S24,Uttar Pradesh,61,Basti,773792,1570657,16,49.27
S24,Uttar Pradesh,62,Sant kabir Nagar,801331,1694453,24,47.29
S24,Uttar Pradesh,63,Maharajganj,839577,1509167,15,55.63
S24,Uttar Pradesh,64,Gorakhpur,750975,1696474,26,44.27
S24,Uttar Pradesh,65,Kushi Nagar,731275,1438263,18,50.84
S24,Uttar Pradesh,66,Deoria,717632,1580745,12,45.4
S24,Uttar Pradesh,67,Bansgaon,649971,1663648,15,39.07
S24,Uttar Pradesh,68,Lalganj,658563,1509536,11,43.63
S24,Uttar Pradesh,69,Azamgarh,705002,1578854,16,44.65
S24,Uttar Pradesh,70,Ghosi,765865,1693231,16,45.23
S24,Uttar Pradesh,71,Salempur,636703,1621136,25,39.28
S24,Uttar Pradesh,72,Ballia,677834,1679029,16,40.37
S24,Uttar Pradesh,73,Jaunpur,764069,1662127,16,45.97
S24,Uttar Pradesh,74,Machhlishahr,717877,1751074,16,41
S24,Uttar Pradesh,75,Ghazipur,770448,1527723,15,50.43
S24,Uttar Pradesh,76,Chandauli,671208,1446259,18,46.41
S24,Uttar Pradesh,77,Varanasi,665530,1561854,15,42.61
S24,Uttar Pradesh,78,Bhadohi,659240,1519449,13,43.39
S24,Uttar Pradesh,79,Mirzapur,733350,1405539,27,52.18
S24,Uttar Pradesh,80,Robertsganj,598810,1214735,10,49.3
S25,West Bengal,1,Cooch behar,1121803,1329086,10,84.4
S25,West Bengal,2,Alipurduars,934139,1229301,9,75.99
S25,West Bengal,3,Jalpaiguri,1031822,1252142,10,82.4
S25,West Bengal,4,Darjeeling,966912,1215464,10,79.55
S25,West Bengal,5,Raiganj,898839,1108382,12,81.09
S25,West Bengal,6,Balurghat,875956,1010224,8,86.71
S25,West Bengal,7,Maldaha Uttar,921885,1101096,9,83.72
S25,West Bengal,8,Maldaha Dakshin,829583,1052093,9,78.85
S25,West Bengal,9,Jangipur,934490,1087054,5,85.97
S25,West Bengal,10,Baharampur,952232,1179938,8,80.7
S25,West Bengal,11,Murshidabad,1051791,1192899,11,88.17
S25,West Bengal,12,Krishnanagar,1046001,1223082,9,85.52
S25,West Bengal,13,Ranaghat,1147245,1329436,6,86.3
S25,West Bengal,14,Bangaon,1078340,1246979,7,86.48
S25,West Bengal,15,Barrackpore,870178,1081237,10,80.48
S25,West Bengal,16,Dum dum,975825,1212220,6,80.5
S25,West Bengal,17,Barasat,1025749,1226654,8,83.62
S25,West Bengal,18,Basirhat,1038241,1198579,8,86.62
S25,West Bengal,19,Joynagar,915949,1143640,8,80.09
S25,West Bengal,20,Mathurapur,1048827,1227376,7,85.45
S25,West Bengal,21,Diamond harbour,1054156,1302398,10,80.94
S25,West Bengal,22,Jadavpur,1085595,1331537,10,81.53
S25,West Bengal,23,Kolkata Dakshin,1007505,1505638,13,66.92
S25,West Bengal,24,Kolkata Uttar,877421,1366647,13,64.2
S25,West Bengal,25,Howrah,994203,1344746,15,73.93
S25,West Bengal,26,Uluberia,1009851,1251590,9,80.69
S25,West Bengal,27,Srerampur,1081544,1395570,8,77.5
S25,West Bengal,28,Hooghly,1162772,1405684,9,82.72
S25,West Bengal,29,Arambagh,1163372,1375377,5,84.59
S25,West Bengal,30,Tamluk,1148514,1271230,9,90.35
S25,West Bengal,31,Kanthi,1124621,1249775,4,89.99
S25,West Bengal,32,Ghatal,1170099,1354861,7,86.36
S25,West Bengal,33,Jhargram,958389,1241574,8,77.19
S25,West Bengal,34,Medinipur,1042496,1262983,10,82.54
S25,West Bengal,35,Purulia,904851,1257799,14,71.94
S25,West Bengal,36,Bankura,984935,1268563,11,77.64
S25,West Bengal,37,Bishnupur,1054538,1237948,7,85.18
S25,West Bengal,38,Bardhaman Purba,1124394,1289311,7,87.21
S25,West Bengal,39,Burdwan - durgapur,1135044,1353380,8,83.87
S25,West Bengal,40,Asansol,893775,1250052,7,71.5
S25,West Bengal,41,Bolpur,1078894,1307730,7,82.5
S25,West Bengal,42,Birbhum,1017609,1221893,7,83.28
S26,Chattisgarh,1,SARGUJA,805208,1306822,16,61.62
S26,Chattisgarh,2,RAIGARH,935749,1432746,10,65.31
S26,Chattisgarh,3,JANJGIR-CHAMPA,737578,1518450,12,48.57
S26,Chattisgarh,4,KORBA,745638,1276443,18,58.42
S26,Chattisgarh,5,BILASPUR,770076,1472793,28,52.29
S26,Chattisgarh,6,RAJNANDGAON,830587,1411051,14,58.86
S26,Chattisgarh,7,DURG,906974,1620400,15,55.97
S26,Chattisgarh,8,RAIPUR,741933,1578868,32,46.99
S26,Chattisgarh,9,MAHASAMUND,776334,1369154,15,56.7
S26,Chattisgarh,10,BASTAR,564762,1193116,7,47.34
S26,Chattisgarh,11,KANKER,742081,1296734,11,57.23
S27,Jharkhand,1,Rajmahal,644877,1167993,12,55.21
S27,Jharkhand,2,Dumka,622037,1128361,19,55.13
S27,Jharkhand,3,Godda,798642,1412253,23,56.55
S27,Jharkhand,4,Chatra,473961,1037665,11,45.68
S27,Jharkhand,5,Kodarma,780540,1390428,16,56.14
S27,Jharkhand,6,Giridih,619192,1346527,17,45.98
S27,Jharkhand,7,Dhanbad,814297,1806475,32,45.08
S27,Jharkhand,8,Ranchi,724390,1625148,26,44.57
S27,Jharkhand,9,Jamshedpur,705571,1380279,26,51.12
S27,Jharkhand,10,Singhbhum,581827,957406,9,60.77
S27,Jharkhand,11,Khunti,510352,980868,9,52.03
S27,Jharkhand,12,Lohardaga,524417,981666,15,53.42
S27,Jharkhand,13,Palamau,651582,1417375,21,45.97
S27,Jharkhand,14,Hazaribagh,690958,1301651,13,53.08
S28,Uttarakhand,1,Tehri Garhwal,585006,1159691,18,50.44
S28,Uttarakhand,2,Garhwal,537004,1092282,13,49.16
S28,Uttarakhand,3,Almora,481451,1057379,10,45.53
S28,Uttarakhand,4,Nainital-udhamsingh Nagar,753956,1284092,14,58.72
S28,Uttarakhand,5,Hardwar,788401,1294280,21,60.91
U01,Andaman & Nicobar Islands,1,Andaman & nicobar islands,170103,265108,11,64.16
U02,Chandigarh,1,Chandigarh,343558,524444,14,65.51
U03,Dadra & Nagar Haveli,1,Dadar & Nagar Haveli,110363,150704,5,73.23
U04,Daman & Diu,1,Daman & diu,68025,95382,7,71.32
U05,NCT OF Delhi,1,CHANDNI CHOWK,780446,1413535,41,55.21
U05,NCT OF Delhi,2,NORTH EAST DELHI,878426,1677058,16,52.38
U05,NCT OF Delhi,3,EAST DELHI,857432,1604795,17,53.43
U05,NCT OF Delhi,4,NEW DELHI,765022,1373146,40,55.71
U05,NCT OF Delhi,5,NORTH WEST  DELHI,857545,1798181,16,47.69
U05,NCT OF Delhi,6,WEST  DELHI,884168,1687727,15,52.39
U05,NCT OF Delhi,7,SOUTH DELHI,731314,1542412,15,47.41
U06,Lakshadweep,1,Lakshadweep,39498,45983,4,85.9
U07,Puducherry,1,Puducherry,608509,762440,28,79.81
