Record ID,Institute,WorkArea,CESSATION YEAR,Reason for ceasing employment,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,Gender.     What is your Gender?,CurrentAge.     Current Age,Employment Type.     Employment Type,Classification.     Classification,LengthofServiceOverall. Overall Length of Service at Institute (in years),LengthofServiceCurrent. Length of Service at current workplace (in years)
634328171329844000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Study,-,-,-,Female,36  40,Temporary Full-time,Administration (AO),3-4,3-4
634328202850835000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Female,51-55,Temporary Full-time,Teacher (including LVT),3-4,3-4
634328288440210000,Brisbane North Institute of TAFE,Delivery (teaching),,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,,,,,,
634329804601719000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,46  50,Permanent Full-time,Teacher (including LVT),5-6,Less than 1 year
634329959592554000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Study,-,-,-,Male,21  25,Permanent Full-time,Administration (AO),3-4,3-4
634333279253906000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,,,,,,
634333408714687000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,51-55,Permanent Full-time,Professional Officer (PO),11-20,11-20
634335805202554000,Metropolitan South Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Full-time,Teacher (including LVT),3-4,5-6
634340388349585000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,Ill Health,-,-,-,Interpersonal Conflict,-,-,-,-,Female,51-55,Permanent Full-time,Administration (AO),More than 20 years,More than 20 years
634340978789585000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,31  35,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
634344511160937000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
634345415831406000,Southbank Institute of Technology,Delivery (teaching),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,
634346271723281000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Male,31  35,Temporary Full-time,Administration (AO),1-2,Less than 1 year
634346401168125000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Male,31  35,Temporary Full-time,Professional Officer (PO),Less than 1 year,Less than 1 year
634352308949688000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
634353285189063000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,Career Move - Self-employment,-,-,-,-,-,Study,Travel,-,-,Female,26  30,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634356555160312000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,51-55,Permanent Full-time,Teacher (including LVT),Less than 1 year,11-20
634356560392188000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,36  40,Permanent Part-time,Teacher (including LVT),3-4,3-4
634356641434062000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Male,56 or older,Contract/casual,Workplace Training Officer,Less than 1 year,Less than 1 year
634356731460781000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,21  25,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
634358247777344000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Male,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634358414389688000,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,51-55,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634358731384062000,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),11-20,11-20
634359251421562000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,,,,,,
634360008438438000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,Career Move - Self-employment,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
634362639709063000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,Ill Health,Maternity/Family,-,-,-,-,-,-,-,Female,56 or older,Permanent Full-time,Administration (AO),7-10,3-4
634365142728281000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Travel,-,-,Female,21  25,Contract/casual,Technical Officer (TO),Less than 1 year,Less than 1 year
634365459611250000,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,41  45,Temporary Part-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634366032016094000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634366171489688000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,21  25,Contract/casual,Administration (AO),1-2,Less than 1 year
634370412543594000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634370483668125000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Female,51-55,Permanent Part-time,Teacher (including LVT),More than 20 years,11-20
634370606168281000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,51-55,Contract/casual,Teacher (including LVT),11-20,Less than 1 year
634372114428281000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Male,56 or older,Permanent Full-time,Administration (AO),11-20,11-20
634376433396563000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,41  45,Contract/casual,Technical Officer (TO),5-6,5-6
634377507269688000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,51-55,Temporary Part-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634381134640312000,Tropical North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,,,,,,
634383335357969000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,-,-,-,-,Travel,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),1-2,1-2
634388595410156000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,36  40,Permanent Full-time,Administration (AO),Less than 1 year,Less than 1 year
634388661685000000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,46  50,Temporary Full-time,Administration (AO),1-2,Less than 1 year
634388739792188000,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,,,,,
634389476488906000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,21  25,Permanent Full-time,Administration (AO),3-4,3-4
634395434816250000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Male,21  25,Permanent Part-time,Operational (OO),1-2,1-2
634395453810469000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,56 or older,Permanent Part-time,Teacher (including LVT),11-20,11-20
634395566956406000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Part-time,Administration (AO),1-2,1-2
634399738233281000,Tropical North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,21  25,Permanent Part-time,Administration (AO),5-6,3-4
634407548427969000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,31  35,Temporary Part-time,Administration (AO),3-4,3-4
634411016475156000,Tropical North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,21  25,Permanent Full-time,Administration (AO),3-4,3-4
634412849002344000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Male,41  45,Permanent Full-time,Operational (OO),3-4,3-4
634413870912500000,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Termination,,,,,,,,,,,,,Female,56 or older,Temporary Part-time,Teacher (including LVT),3-4,Less than 1 year
634417864506406000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Female,46  50,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634418043788438000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Female,26  30,Temporary Full-time,Teacher (including LVT),1-2,1-2
634419660420156000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Male,46  50,Temporary Full-time,Executive (SES/SO),1-2,1-2
634419812329531000,Tropical North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,46  50,Permanent Full-time,Teacher (including LVT),1-2,1-2
634420617024687000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,56 or older,Permanent Full-time,Administration (AO),5-6,1-2
634423305341562000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,56 or older,Permanent Part-time,Tutor,11-20,3-4
634425043787500000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,46  50,Contract/casual,Administration (AO),5-6,5-6
634425831321094000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,21  25,Temporary Full-time,Professional Officer (PO),1-2,1-2
634429978393906000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,41  45,Temporary Full-time,Administration (AO),1-2,1-2
634430196933125000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,36  40,Permanent Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634431906734219000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,36  40,Permanent Full-time,Administration (AO),5-6,5-6
634436080180469000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,26  30,Temporary Full-time,Operational (OO),Less than 1 year,Less than 1 year
634438675485469000,Southbank Institute of Technology,Delivery (teaching),2011.0,Retirement,-,-,-,-,Maternity/Family,-,Job Dissatisfaction,-,-,-,-,-,Female,51-55,Permanent Full-time,Teacher (including LVT),More than 20 years,3-4
634443964450156000,Tropical North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Male,41  45,Contract/casual,Teacher (including LVT),1-2,1-2
634444676214219000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Female,41  45,Contract/casual,Administration (AO),3-4,5-6
634447301250156000,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,
634450781262969000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Temporary Full-time,Administration (AO),1-2,Less than 1 year
634454356619531000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,21  25,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634454362346563000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Temporary Full-time,Administration (AO),3-4,Less than 1 year
634455107975313000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,Ill Health,-,-,-,-,-,-,Other,-,Female,56 or older,Temporary Part-time,Administration (AO),7-10,7-10
634456033339688000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,41  45,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
634456810990000000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,
634461102971094000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,,,,,
634461110095938000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,56 or older,Permanent Full-time,Administration (AO),11-20,11-20
634462838669219000,Tropical North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Female,31  35,Temporary Full-time,Administration (AO),1-2,1-2
634465408262031000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,Study,-,-,-,Female,21  25,Temporary Full-time,Administration (AO),1-2,1-2
634466325765938000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,36  40,Temporary Full-time,Teacher (including LVT),1-2,11-20
634466334830781000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Temporary Part-time,Teacher (including LVT),Less than 1 year,7-10
634466338996094000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Male,41  45,Temporary Full-time,Technical Officer (TO),1-2,Less than 1 year
634468063521250000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,46  50,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634468104798125000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634468237201562000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Male,51-55,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
634469060191250000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,36  40,Temporary Full-time,Executive (SES/SO),Less than 1 year,Less than 1 year
634471580533906000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,,,,,,
634474119730625000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,21  25,Contract/casual,Administration (AO),1-2,Less than 1 year
634474960259219000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,51-55,Contract/casual,Administration (AO),1-2,1-2
634475001702969000,Southbank Institute of Technology,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,56 or older,Permanent Part-time,Tutor,7-10,7-10
634480153857500000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,26  30,Temporary Full-time,Administration (AO),1-2,1-2
634480996232969000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,-,-,-,-,-,Female,41  45,Temporary Full-time,Teacher (including LVT),11-20,1-2
634483759524219000,Tropical North Institute of TAFE,Delivery (teaching),2012.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,56 or older,Permanent Part-time,Teacher (including LVT),3-4,3-4
634485432981094000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,56 or older,Permanent Full-time,Operational (OO),More than 20 years,More than 20 years
634487078738750000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,Other,-,Female,46  50,Permanent Full-time,Administration (AO),5-6,5-6
634491780096563000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,Female,56 or older,Temporary Full-time,Administration (AO),3-4,3-4
634492389417187000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,36  40,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
634492399751406000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,36  40,Contract/casual,Administration (AO),3-4,Less than 1 year
634495664096406000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,26  30,Permanent Full-time,Professional Officer (PO),3-4,1-2
634496573562969000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,51-55,Temporary Full-time,Administration (AO),1-2,1-2
634496661404062000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,,,,,
634497559461719000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,Male,31  35,Contract/casual,Teacher (including LVT),1-2,1-2
634497651258125000,Tropical North Institute of TAFE,Delivery (teaching),2011.0,Termination,,,,,,,,,,,,,Female,51-55,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
634498298127969000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Study,-,-,-,Female,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634499252882656000,SkillsTech Australia,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,,,,,
634508607117812000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,Study,-,-,-,Male,21  25,Permanent Full-time,Administration (AO),3-4,3-4
634509621647969000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,Female,51-55,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634515603225000000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,Study,-,-,-,Female,36  40,Temporary Full-time,Administration (AO),1-2,1-2
634517445885469000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,41  45,Permanent Part-time,Professional Officer (PO),11-20,11-20
634519977362813000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,46  50,Temporary Part-time,Teacher (including LVT),Less than 1 year,3-4
634520852160469000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634521642169688000,SkillsTech Australia,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,21  25,Permanent Full-time,Administration (AO),3-4,3-4
634522371755781000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,36  40,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634523409759688000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,,,,,
634525935995156000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Termination,,,,,,,,,,,,,Female,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634526057042656000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,41  45,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
634527641594062000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,Interpersonal Conflict,-,-,-,-,Female,20 or younger,Temporary Full-time,Administration (AO),1-2,1-2
634527818866563000,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,56 or older,Contract/casual,Professional Officer (PO),5-6,Less than 1 year
634528575096719000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Male,56 or older,Temporary Full-time,Professional Officer (PO),3-4,More than 20 years
634528748789219000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,56 or older,Permanent Full-time,Administration (AO),1-2,5-6
634529403585000000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Male,41  45,Temporary Full-time,Professional Officer (PO),7-10,7-10
634533959365625000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,
634535441639531000,Southbank Institute of Technology,Delivery (teaching),2011.0,Termination,,,,,,,,,,,,,Female,41  45,Contract/casual,Teacher (including LVT),Less than 1 year,3-4
634540823178594000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634541462557656000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,21  25,Temporary Full-time,Administration (AO),3-4,Less than 1 year
634549611075156000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Transfer,-,-,-,-,-,-,-,-,-,-,Other,-,Female,36  40,Temporary Full-time,Administration (AO),1-2,1-2
634550190071875000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,51-55,Temporary Part-time,Professional Officer (PO),1-2,1-2
634550359425000000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,
634551034294687000,Tropical North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,,,,,,,,,,,,,,,,,,
634551070180781000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,Interpersonal Conflict,-,-,-,-,Female,36  40,Permanent Part-time,Workplace Training Officer,5-6,5-6
634551832315938000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Transfer,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,46  50,Permanent Full-time,Administration (AO),3-4,1-2
634552014788281000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,46  50,Contract/casual,Operational (OO),Less than 1 year,Less than 1 year
634552711776250000,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,56 or older,Permanent Full-time,Teacher (including LVT),7-10,7-10
634552870206250000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Male,36  40,Permanent Full-time,Professional Officer (PO),3-4,3-4
634552909616094000,SkillsTech Australia,Non-Delivery (corporate),2012.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,51-55,Permanent Full-time,Administration (AO),11-20,5-6
634553547935261000,SkillsTech Australia,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,51-55,Permanent Full-time,Administration (AO),3-4,11-20
