ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
206,Resignation-Other reasons,2012,2006,2006,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,,,,,
207,Termination,2012,1970,2005,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,
208,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher,Special Education,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
209,Age Retirement,2012,1993,1993,Teacher Aide,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
210,Ill Health Retirement,2012,1996,2002,Teacher,Primary,Central Office,Early Childhood Education and Care,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Female,46-50,,,,,
211,Resignation-Move overseas/interstate,2012,2007,2007,Professional Officer,PO1-PO4,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,,,,
212,Voluntary Early Retirement (VER),2012,1986,1986,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
213,Resignation-Other reasons,2012,1986,1997,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,,,,,
214,Other,2012,Not Stated,Not Stated,Cleaner,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
215,Resignation-Other reasons,2012,1999,2011,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,
216,Termination,2012,1987,2010,Public Servant,AO8 and Above,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,
217,Age Retirement,2013,1979,1979,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,
218,Voluntary Early Retirement (VER),2013,1995,1995,Teacher,Secondary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,Yes
219,Age Retirement,2012,1999,1999,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,,
220,Age Retirement,2012,1999,1999,Teacher,Primary,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
221,Ill Health Retirement,2012,2007,2010,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
222,Age Retirement,2012,1977,1988,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
223,Contract Expired,2012,2011,2011,Public Servant,AO5-AO7,Central Office,Education Queensland,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,,,,,
224,Resignation-Other reasons,2012,1996,2006,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,51-55,,,,,
225,Resignation-Other reasons,2012,2009,2009,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36-40,,,,,
226,Age Retirement,2012,1997,1997,Cleaner,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
227,Contract Expired,2012,2010,2011,Public Servant,A01-A04,Central Office,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,,,,,
228,Voluntary Early Retirement (VER),2012,1992,2008,Public Servant,AO8 and Above,Central Office,Human Resources,Permanent Full-time,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,Male,46-50,,,,,
229,Resignation-Other reasons,2012,1994,2012,Cleaner,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,Male,56-60,,,,,
230,Age Retirement,2012,2008,2012,Teacher,Secondary,Darling Downs South West,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,56-60,,,,,
231,Voluntary Early Retirement (VER),2012,1995,2012,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
232,Voluntary Early Retirement (VER),2012,1970,2002,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Male,56-60,,,,,
233,Other,2012,1979,2005,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,,,,,
234,Voluntary Early Retirement (VER),2012,1985,1998,Public Servant,A01-A04,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,46-50,,,,,
235,Age Retirement,2012,2000,2000,Cleaner,,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
236,Resignation-Move overseas/interstate,2012,2009,2009,Technical Officer,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,21-25,,,,,
237,Age Retirement,2012,1979,1979,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,,,,,
238,Age Retirement,2012,1994,1998,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
239,Voluntary Early Retirement (VER),2012,1976,2003,Public Servant,AO5-AO7,North Coast,Human Resources,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,51-55,,,,,
240,Age Retirement,2012,1970,1995,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
241,Age Retirement,2013,1970,2001,School Principal,,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
242,Ill Health Retirement,2012,1993,1993,Schools Officer,,South East,Pacific Pines SHS,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56-60,,,,Yes,
243,Age Retirement,2013,1980,1995,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,51-55,,,,,
244,Age Retirement,2012,1981,1981,Teacher Aide,,Central Queensland,Calliope State School,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
245,Voluntary Early Retirement (VER),2012,1967,Not Stated,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
246,Voluntary Early Retirement (VER),2012,1990,1992,Public Servant,A01-A04,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
247,Voluntary Early Retirement (VER),2012,1975,1988,Public Servant,A01-A04,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,,,,,Yes
248,Resignation-Move overseas/interstate,2013,2007,2007,"School Based Professional Staff (Therapist, nurse, etc)",PO1-PO4,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,26-30,,,,,
249,Resignation-Move overseas/interstate,2012,2011,2011,Teacher,Primary,Far North Queensland,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,31-35,,,,,
250,Contract Expired,2012,2011,2012,Teacher Aide,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,Yes,,,,
251,Resignation-Other reasons,2013,2006,2006,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,Male,26-30,,,,,
252,Age Retirement,2012,1989,2008,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,Yes
253,Age Retirement,2012,2011,2011,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,,,,,
254,Age Retirement,2012,1996,1996,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,,,,,
255,Resignation-Other reasons,2012,2000,2012,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,31-35,,,,,
256,Resignation-Other employer,2012,2008,2012,Cleaner,,South East,,Permanent Part-time,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,
257,Resignation-Move overseas/interstate,2012,2005,2005,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,
258,Resignation-Other reasons,2012,2012,2012,Public Servant,A01-A04,Darling Downs South West,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,,,,,
259,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,26-30,,,,,
260,Resignation-Move overseas/interstate,2012,2008,2008,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Male,41-45,,,,,
261,Age Retirement,2012,1996,1996,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
262,Ill Health Retirement,2012,2011,2011,Schools Officer,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56-60,,,,,
263,Resignation-Move overseas/interstate,2013,2011,2011,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Male,36-40,,,,,
264,Resignation-Move overseas/interstate,2013,2009,2012,Teacher,Special Education,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,21-25,,,,,
265,Resignation-Other reasons,2012,2011,2011,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,20 or younger,Yes,,,,
266,Age Retirement,2012,2007,2007,Schools Officer,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
267,Age Retirement,2013,1989,1989,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
268,Resignation-Other employer,2012,2011,2011,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,,,,,
269,Resignation-Move overseas/interstate,2012,2011,2012,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,Female,31-35,,,,,
270,Resignation-Other reasons,2012,2010,2010,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,,,,,
271,Age Retirement,2012,1981,1981,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
272,Termination,2012,1970,2005,Public Servant,AO8 and Above,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,,,,
273,Ill Health Retirement,2012,1972,1978,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Male,61 or older,,,,,
274,Resignation-Other reasons,2012,1991,2007,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
275,Resignation-Other employer,2013,2011,2011,Public Servant,A01-A04,Not Stated,,Temporary Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
276,Other,2012,2001,2005,Public Servant,AO5-AO7,Central Office,"Policy, Research, Legislation",Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,Yes
277,Age Retirement,2012,1986,1986,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
278,Voluntary Early Retirement (VER),2012,1992,1998,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
279,Voluntary Early Retirement (VER),2012,2009,2010,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,31-35,,,,,
280,Resignation-Other reasons,2012,1992,1992,Cleaner,,Not Stated,,Permanent Part-time,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
281,Age Retirement,2012,1997,1997,Cleaner,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
282,Age Retirement,2013,1978,1978,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
283,Voluntary Early Retirement (VER),2012,2003,2012,Public Servant,AO5-AO7,Central Office,Infrastructure,Permanent Full-time,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Female,26-30,,,,,
284,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,26-30,,,,,
285,Resignation-Other employer,2012,2007,2008,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,
286,Resignation-Move overseas/interstate,2012,2012,2012,Cleaner,,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,
287,Resignation-Other employer,2012,2012,2012,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
288,Age Retirement,2012,2003,2003,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
289,Resignation-Move overseas/interstate,2013,Not Stated,Not Stated,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,Female,26-30,,,,,
290,Age Retirement,2012,1974,1989,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
291,Age Retirement,2013,1994,1996,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,
292,Resignation-Other employer,2013,Not Stated,Not Stated,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
293,Age Retirement,2013,1983,1983,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,56-60,,,,,
294,Resignation-Move overseas/interstate,2012,Not Stated,Not Stated,Schools Officer,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,61 or older,,,,,
295,Voluntary Early Retirement (VER),2013,1992,1992,Professional Officer,PO1-PO4,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,
296,Resignation-Move overseas/interstate,2012,1980,2003,Teacher,Special Education,Central Office,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,51-55,,,,,
297,Resignation-Other employer,2012,2006,2009,Technical Officer,,North Coast,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41-45,,,,,
298,Age Retirement,2012,1997,1997,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,61 or older,,,,,
299,Other,2013,2012,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,21-25,,,,,
300,Age Retirement,2012,1990,1997,Public Servant,A01-A04,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
301,Resignation-Move overseas/interstate,2012,1996,1996,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,Female,51-55,,,,,
302,Resignation-Other employer,2012,Not Stated,Not Stated,School Administrative Staff,,Not Stated,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,
303,Age Retirement,2013,1988,1988,Cleaner,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
304,Resignation-Other reasons,2012,2005,2011,Cleaner,,South East,,Permanent Part-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,
305,Resignation-Other employer,2013,2009,2009,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,46-50,,,,,
306,Contract Expired,2012,2011,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,41-45,,,,,
307,Contract Expired,2012,2011,2011,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,21-25,,,,,
308,Age Retirement,2012,2007,2007,Cleaner,,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
309,Age Retirement,2013,1988,1988,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,Male,51-55,,,,,
310,Age Retirement,2012,1988,2008,Teacher,Special Education,South East,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,
311,Age Retirement,2013,1972,1989,Guidance Officer,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
312,Resignation-Other employer,2013,2001,2007,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36-40,,,,,
313,Resignation-Other reasons,2013,1999,2012,Teacher,Primary,North Coast,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,Female,36-40,,,,,
314,Age Retirement,2013,1969,1995,Guidance Officer,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
315,Resignation-Other employer,2013,2001,2006,Teacher,Primary,Not Stated,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
316,Other,2012,Not Stated,Not Stated,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,61 or older,,,,,
317,Age Retirement,2012,Not Stated,Not Stated,Cleaner,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
318,Resignation-Other employer,2012,1989,1989,Teacher,,Metropolitan,,Permanent Full-time,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41-45,,,,,
319,Resignation-Other reasons,2012,2012,2012,School Administrative Staff,,North Queensland,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,,,,,
320,Age Retirement,2013,1979,1992,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,
321,Resignation-Other reasons,2012,2011,2011,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,26-30,,,,,
322,Age Retirement,2013,1987,1987,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
323,Resignation-Other employer,2013,2007,2007,Teacher,Middle,Metropolitan,,Permanent Full-time,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,26-30,,,,,
324,Voluntary Early Retirement (VER),2012,2000,2000,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
325,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,,,,
326,Resignation-Other employer,2012,2000,2004,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,,,,,
327,Resignation-Other reasons,2012,2008,2008,Cleaner,,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,,,,,Yes
328,Age Retirement,2012,1975,1975,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
329,Age Retirement,2013,1973,2009,Teacher,Special Education,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,56-60,,,,,
330,Voluntary Early Retirement (VER),2013,1971,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,
331,Age Retirement,2012,1973,1986,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
332,Age Retirement,2012,1995,1999,School Principal,,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
333,Resignation-Other reasons,2012,2011,2011,Cleaner,,Not Stated,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Female,21-25,,,,,
334,Resignation-Other employer,2012,2012,2012,School Administrative Staff,,South East,,Temporary Part-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
335,Age Retirement,2013,1979,Not Stated,Teacher,Secondary,North Coast,,Permanent Full-time,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,Male,51-55,,,,,
336,Contract Expired,2012,2012,2012,Teacher,Primary,Far North Queensland,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,,,,,
337,Other,2012,Not Stated,Not Stated,School Administrative Staff,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,
338,Age Retirement,2013,1988,2001,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,,,,,Yes
339,Age Retirement,2012,1984,1985,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
340,Age Retirement,2013,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,Male,56-60,,,,,
341,Resignation-Other reasons,2013,2005,2012,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Male,26-30,,,,,
342,Voluntary Early Retirement (VER),2013,1972,1996,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
343,Age Retirement,2012,1999,2012,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
344,Resignation-Other employer,2012,Not Stated,Not Stated,School Administrative Staff,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,,,,,Yes
345,Age Retirement,2013,1981,1996,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
346,Resignation-Other employer,2012,1988,1988,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,
347,Age Retirement,2013,Not Stated,Not Stated,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
348,Resignation-Other employer,2012,2008,2008,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,Yes
