index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
1153,2018-04-20,Eastern,466.34,534.11,,,39.12,40.68
1154,2018-04-20,NorthEastern,30.25,28.20,,,7.43,6.65
1155,2018-04-21,Northern,633.23,639.05,22.5,26.19,154.72,115.34
1156,2018-04-21,Western,"1,227.92","1,305.23",14.07,33.24,24.4,34.1
1157,2018-04-21,Southern,636.56,670.58,47.03,47.29,62.88,68.93
1158,2018-04-21,Eastern,466.34,525.29,,,39.12,40.98
1159,2018-04-21,NorthEastern,30.25,30.65,,,7.43,7.77
1160,2018-04-22,Northern,633.23,599.51,22.5,26.03,154.72,112.12
1161,2018-04-22,Western,"1,227.92","1,279.26",14.07,33.24,24.4,23.37
1162,2018-04-22,Southern,636.56,629.10,47.03,48.28,62.88,40.93
1163,2018-04-22,Eastern,466.34,517.23,,,39.12,41.91
1164,2018-04-22,NorthEastern,30.25,32.61,,,7.43,7.62
1165,2018-04-23,Northern,633.23,648.95,22.5,26.13,154.72,118.87
1166,2018-04-23,Western,"1,227.92","1,284.93",14.07,33.32,24.4,35.18
1167,2018-04-23,Southern,636.56,664.01,47.03,47.25,62.88,60.96
1168,2018-04-23,Eastern,466.34,546.55,,,39.12,44.27
1169,2018-04-23,NorthEastern,30.25,35.06,,,7.43,7.78
1170,2018-04-24,Northern,633.23,665.59,22.5,25.94,154.72,127.75
1171,2018-04-24,Western,"1,227.92","1,282.71",14.07,33.37,24.4,37.08
1172,2018-04-24,Southern,636.56,675.25,47.03,48.11,62.88,53.69
1173,2018-04-24,Eastern,465.25,524.50,,,39.12,48.82
1174,2018-04-24,NorthEastern,30.25,34.75,,,7.43,8.79
1175,2018-04-25,Northern,633.23,680.01,22.5,25.86,154.72,138.19
1176,2018-04-25,Western,"1,227.92","1,270.50",14.07,33.17,24.4,31.57
1177,2018-04-25,Southern,636.56,680.34,47.03,48.13,62.88,49.79
1178,2018-04-25,Eastern,465.25,522.58,,,39.12,46.04
1179,2018-04-25,NorthEastern,30.25,32.37,,,7.43,7.3
1180,2018-04-26,Northern,633.23,680.66,22.5,25.71,154.72,150.83
1181,2018-04-26,Western,"1,233.32","1,263.88",14.07,33.3,24.4,32.71
1182,2018-04-26,Southern,636.56,691.85,47.03,48.21,62.88,55.27
1183,2018-04-26,Eastern,465.25,516.98,,,39.12,41.33
1184,2018-04-26,NorthEastern,30.25,31.55,,,7.43,7.8
1185,2018-04-27,Northern,633.23,697.10,22.5,20.92,154.72,159.6
1186,2018-04-27,Western,"1,233.32","1,262.12",14.07,33.26,24.4,36.95
1187,2018-04-27,Southern,636.56,706.84,47.03,47.32,62.88,62.78
1188,2018-04-27,Eastern,465.25,515.18,,,39.12,41.09
1189,2018-04-27,NorthEastern,30.25,33.26,,,7.43,7.81
1190,2018-04-28,Northern,630.56,714.50,22.5,20.86,154.72,163.81
1191,2018-04-28,Western,"1,235.32","1,227.49",14.07,33.16,24.4,37.15
1192,2018-04-28,Southern,636.56,706.35,47.03,36.24,62.88,67.61
1193,2018-04-28,Eastern,465.25,519.88,,,39.12,44.33
1194,2018-04-28,NorthEastern,30.25,35.59,,,7.43,7.24
1195,2018-04-29,Northern,633.06,671.69,22.5,20.75,154.72,168.85
1196,2018-04-29,Western,"1,235.32","1,160.84",14.07,33.22,24.4,28.79
1197,2018-04-29,Southern,636.56,670.12,47.03,25.47,62.88,48.03
1198,2018-04-29,Eastern,465.25,505.86,,,39.12,24.52
1199,2018-04-29,NorthEastern,30.25,32.49,,,7.43,7.35
1200,2018-04-30,Northern,636.39,624.62,22.5,22.49,154.72,177.88
1201,2018-04-30,Western,"1,235.32","1,183.77",14.07,33.17,24.4,20.21
1202,2018-04-30,Southern,636.56,672.75,47.03,25.1,62.88,50.68
1203,2018-04-30,Eastern,469.05,466.64,,,39.12,42.25
1204,2018-04-30,NorthEastern,30.25,31.99,,,7.43,7.14
1205,2018-05-01,Northern,628.57,593.17,24.66,26.01,244.89,189.84
1206,2018-05-01,Western,"1,217.35","1,176.83",14.06,33.14,23.41,14.24
1207,2018-05-01,Southern,631.61,619.23,57.26,34.76,52.96,32.36
1208,2018-05-01,Eastern,469.21,460.44,,,46.26,38.86
1209,2018-05-01,NorthEastern,30.13,29.90,,,13.75,7.04
1210,2018-05-02,Northern,628.57,567.45,24.66,25.63,244.89,205.31
1211,2018-05-02,Western,"1,216.67","1,190.12",14.06,33.14,23.41,29.06
1212,2018-05-02,Southern,631.61,630.54,57.26,45.38,52.96,44.65
1213,2018-05-02,Eastern,469.21,499.39,,,46.26,41.93
1214,2018-05-02,NorthEastern,30.13,30.23,,,13.75,9.63
1215,2018-05-03,Northern,628.57,492.84,24.66,23.24,244.89,212.87
1216,2018-05-03,Western,"1,217.84","1,167.90",14.06,33.12,23.41,45.75
1217,2018-05-03,Southern,631.61,617.08,57.26,46.33,52.96,47.39
1218,2018-05-03,Eastern,469.21,488.75,,,46.26,43.22
1219,2018-05-03,NorthEastern,30.13,31.77,,,13.75,10.81
1220,2018-05-04,Northern,628.57,587.09,24.66,27.23,244.89,187.89
1221,2018-05-04,Western,"1,217.84","1,236.92",14.06,20.11,23.41,50.85
1222,2018-05-04,Southern,631.61,600.92,57.26,46.78,52.96,49.79
1223,2018-05-04,Eastern,469.21,529.05,,,46.26,57.3
1224,2018-05-04,NorthEastern,30.13,33.57,,,13.75,10.07
1225,2018-05-05,Northern,628.94,628.96,24.66,27.15,244.89,178.99
1226,2018-05-05,Western,"1,217.52","1,241.82",14.06,20.09,23.41,56.07
1227,2018-05-05,Southern,631.61,665.21,57.26,46.68,52.96,57.91
1228,2018-05-05,Eastern,469.21,542.87,,,46.26,59.1
1229,2018-05-05,NorthEastern,30.13,34.38,,,13.75,12.04
1230,2018-05-06,Northern,629.44,587.77,24.66,30.12,244.89,172.61
1231,2018-05-06,Western,"1,221.10","1,228.22",14.06,20.06,23.41,33.04
1232,2018-05-06,Southern,631.61,627.44,57.26,47.11,52.96,40.55
1233,2018-05-06,Eastern,469.21,533.29,,,46.26,42.2
1234,2018-05-06,NorthEastern,30.13,33.58,,,13.75,10.84
1235,2018-05-07,Northern,629.44,647.10,24.66,30.29,244.89,168.79
1236,2018-05-07,Western,"1,221.10","1,232.29",14.06,20.05,23.41,48.31
1237,2018-05-07,Southern,631.61,638.61,57.26,48.08,52.96,53.81
1238,2018-05-07,Eastern,469.21,528.50,,,46.26,56.69
1239,2018-05-07,NorthEastern,30.13,34.05,,,13.75,12.23
1240,2018-05-08,Northern,629.44,596.53,24.66,30.12,244.89,176.63
1241,2018-05-08,Western,"1,221.10","1,254.69",14.06,20.07,23.41,50.59
1242,2018-05-08,Southern,631.61,634.41,57.26,47.99,52.96,44.14
1243,2018-05-08,Eastern,469.21,514.01,,,46.26,66.4
1244,2018-05-08,NorthEastern,30.13,32.72,,,13.75,12.76
1245,2018-05-09,Northern,629.28,633.71,24.66,30.09,244.89,169.16
1246,2018-05-09,Western,"1,223.75","1,275.69",14.06,20.07,23.41,51.79
1247,2018-05-09,Southern,631.61,622.62,57.26,48.02,52.96,46.71
1248,2018-05-09,Eastern,470.30,518.65,,,46.26,61.0
1249,2018-05-09,NorthEastern,30.13,31.38,,,13.75,13.81
1250,2018-05-10,Northern,632.08,660.58,24.66,29.71,244.89,156.48
1251,2018-05-10,Western,"1,223.75","1,283.29",14.06,20.06,23.41,59.26
1252,2018-05-10,Southern,631.61,644.19,42.7,47.98,52.96,49.54
1253,2018-05-10,Eastern,470.30,521.92,,,46.26,64.4
1254,2018-05-10,NorthEastern,30.13,33.69,,,13.75,13.14
1255,2018-05-11,Northern,632.92,682.40,24.66,29.83,244.89,158.59
1256,2018-05-11,Western,"1,217.95","1,301.29",14.06,20.08,23.41,23.23
1257,2018-05-11,Southern,641.09,640.76,42.7,48.03,52.96,46.66
1258,2018-05-11,Eastern,470.30,514.63,,,46.26,57.87
1259,2018-05-11,NorthEastern,30.13,35.33,,,13.75,12.35
1260,2018-05-12,Northern,632.92,674.11,24.66,29.9,244.89,179.13
1261,2018-05-12,Western,"1,217.95","1,264.19",14.06,20.06,23.41,27.78
1262,2018-05-12,Southern,641.09,620.25,42.7,48.02,52.96,31.37
1263,2018-05-12,Eastern,470.30,497.06,,,46.26,44.54
1264,2018-05-12,NorthEastern,30.13,35.40,,,13.75,13.05
1265,2018-05-13,Northern,632.92,622.57,24.66,29.65,244.89,184.35
1266,2018-05-13,Western,"1,217.95","1,219.35",14.06,20.0,23.41,30.57
1267,2018-05-13,Southern,641.09,601.86,42.7,48.14,52.96,26.44
1268,2018-05-13,Eastern,470.30,476.61,,,46.26,40.7
1269,2018-05-13,NorthEastern,30.13,32.91,,,13.75,14.64
1270,2018-05-14,Northern,632.92,531.01,24.66,30.07,244.89,192.18
1271,2018-05-14,Western,"1,217.95","1,261.58",14.06,19.98,23.41,34.98
1272,2018-05-14,Southern,641.09,610.52,42.7,48.08,52.96,42.41
1273,2018-05-14,Eastern,470.30,432.32,,,46.26,39.58
1274,2018-05-14,NorthEastern,30.13,32.97,,,13.75,14.19
1275,2018-05-15,Northern,636.36,632.85,24.66,29.93,244.89,185.28
1276,2018-05-15,Western,"1,211.95","1,299.81",14.06,19.98,23.41,40.73
1277,2018-05-15,Southern,641.09,647.91,42.7,48.05,52.96,50.81
1278,2018-05-15,Eastern,466.59,489.72,,,46.26,44.36
1279,2018-05-15,NorthEastern,30.13,29.47,,,13.75,13.33
1280,2018-05-16,Northern,645.24,666.69,28.41,30.23,244.89,180.51
1281,2018-05-16,Western,"1,223.20","1,285.64",14.06,19.95,23.41,35.03
1282,2018-05-16,Southern,641.09,654.02,42.7,48.0,52.96,50.89
1283,2018-05-16,Eastern,466.59,488.95,,,46.26,51.4
1284,2018-05-16,NorthEastern,30.13,26.78,,,13.75,14.2
1285,2018-05-17,Northern,645.24,688.03,28.41,33.51,244.89,189.05
1286,2018-05-17,Western,"1,223.20","1,302.29",14.06,19.94,23.41,35.73
1287,2018-05-17,Southern,641.09,664.61,42.7,47.9,52.96,44.96
1288,2018-05-17,Eastern,466.59,483.58,,,46.26,48.78
1289,2018-05-17,NorthEastern,30.13,28.17,,,13.75,14.84
1290,2018-05-18,Northern,647.45,704.28,28.41,34.83,244.89,197.16
1291,2018-05-18,Western,"1,223.20","1,287.51",14.06,19.9,23.41,27.77
1292,2018-05-18,Southern,641.09,647.20,42.7,46.97,52.96,54.22
1293,2018-05-18,Eastern,466.59,492.28,,,46.26,52.24
1294,2018-05-18,NorthEastern,30.13,24.64,,,13.75,14.76
1295,2018-05-19,Northern,649.43,714.48,28.41,34.79,244.89,169.72
1296,2018-05-19,Western,"1,223.20","1,299.49",14.06,19.89,23.41,48.35
1297,2018-05-19,Southern,641.09,633.41,42.7,46.83,52.96,54.56
1298,2018-05-19,Eastern,466.59,480.38,,,46.26,55.29
1299,2018-05-19,NorthEastern,30.13,29.24,,,13.75,14.46
1300,2018-05-20,Northern,646.95,713.14,28.41,34.74,244.89,178.7
1301,2018-05-20,Western,"1,223.20","1,270.62",14.06,19.82,23.41,38.87
1302,2018-05-20,Southern,641.09,557.74,42.7,46.85,52.96,32.71
1303,2018-05-20,Eastern,476.59,484.70,,,46.26,45.96
1304,2018-05-20,NorthEastern,30.13,29.42,,,13.75,14.45
1305,2018-05-21,Northern,646.95,728.05,28.41,34.87,244.89,190.86
1306,2018-05-21,Western,"1,220.65","1,309.83",14.06,19.76,23.41,30.43
1307,2018-05-21,Southern,641.09,628.55,42.7,46.69,52.96,47.01
1308,2018-05-21,Eastern,476.59,509.25,,,46.26,53.83
1309,2018-05-21,NorthEastern,30.13,29.94,,,13.75,13.54
1310,2018-05-22,Northern,646.95,760.51,28.41,34.54,244.89,206.6
1311,2018-05-22,Western,"1,223.44","1,361.97",14.06,19.85,23.41,25.75
1312,2018-05-22,Southern,637.09,660.77,42.7,47.56,52.96,48.55
1313,2018-05-22,Eastern,476.59,518.57,,,46.26,50.2
1314,2018-05-22,NorthEastern,30.13,30.24,,,13.75,14.31
1315,2018-05-23,Northern,647.32,782.50,28.41,34.52,244.89,220.91
1316,2018-05-23,Western,"1,223.44","1,331.94",14.06,19.95,23.41,34.19
1317,2018-05-23,Southern,637.09,667.73,42.7,47.68,52.96,41.13
1318,2018-05-23,Eastern,476.59,513.14,,,46.26,55.56
1319,2018-05-23,NorthEastern,30.13,29.26,,,13.75,14.73
1320,2018-05-24,Northern,647.32,763.24,28.41,34.71,244.89,220.54
1321,2018-05-24,Western,"1,223.44","1,325.32",14.06,19.98,23.41,24.36
1322,2018-05-24,Southern,632.48,653.06,42.7,47.94,52.96,38.16
1323,2018-05-24,Eastern,476.59,514.61,,,46.26,66.9
1324,2018-05-24,NorthEastern,30.13,31.49,,,13.75,14.47
1325,2018-05-25,Northern,647.32,737.49,28.41,30.02,244.89,222.94
1326,2018-05-25,Western,"1,206.19","1,317.08",14.06,19.98,23.41,20.28
1327,2018-05-25,Southern,632.48,631.44,42.7,46.82,52.96,39.48
1328,2018-05-25,Eastern,476.59,520.60,,,46.26,74.99
1329,2018-05-25,NorthEastern,30.13,34.45,,,13.75,17.36
1330,2018-05-26,Northern,647.32,732.18,28.41,30.68,244.89,228.26
1331,2018-05-26,Western,"1,211.36","1,319.06",14.06,19.94,23.41,33.34
1332,2018-05-26,Southern,632.48,640.71,42.7,41.21,52.96,54.11
1333,2018-05-26,Eastern,476.59,506.77,,,46.26,74.76
1334,2018-05-26,NorthEastern,30.13,33.91,,,13.75,18.37
1335,2018-05-27,Northern,647.32,740.48,28.41,29.88,244.89,221.04
1336,2018-05-27,Western,"1,211.36","1,276.51",14.06,27.09,23.41,27.67
1337,2018-05-27,Southern,637.08,621.90,42.7,37.48,52.96,35.39
1338,2018-05-27,Eastern,476.59,510.32,,,46.26,78.56
1339,2018-05-27,NorthEastern,30.13,32.44,,,13.75,21.78
1340,2018-05-28,Northern,648.94,769.71,28.41,30.43,244.89,211.24
1341,2018-05-28,Western,"1,211.36","1,301.68",14.06,27.08,23.41,24.49
1342,2018-05-28,Southern,637.08,631.68,42.7,37.84,52.96,44.06
1343,2018-05-28,Eastern,476.59,520.07,,,46.26,73.34
1344,2018-05-28,NorthEastern,30.13,35.85,,,13.75,19.73
1345,2018-05-29,Northern,648.94,770.38,28.41,33.79,244.89,204.61
1346,2018-05-29,Western,"1,211.36","1,287.80",14.06,32.61,23.41,16.81
1347,2018-05-29,Southern,637.08,592.21,42.7,38.8,52.96,38.0
1348,2018-05-29,Eastern,476.59,493.20,,,46.26,65.54
1349,2018-05-29,NorthEastern,30.13,33.52,,,13.75,20.81
1350,2018-05-30,Northern,649.80,744.44,28.41,34.63,244.89,215.04
1351,2018-05-30,Western,"1,211.36","1,297.36",14.06,32.92,23.41,17.61
1352,2018-05-30,Southern,637.08,607.05,42.7,46.64,52.96,42.75
1353,2018-05-30,Eastern,476.59,524.74,,,46.26,69.76
1354,2018-05-30,NorthEastern,30.13,34.44,,,13.75,18.73
1355,2018-05-31,Northern,649.80,774.24,28.41,34.51,244.89,235.33
1356,2018-05-31,Western,"1,211.36","1,283.49",14.06,32.83,23.41,28.23
1357,2018-05-31,Southern,637.08,623.43,42.7,47.72,52.96,51.94
1358,2018-05-31,Eastern,476.59,527.71,,,46.26,58.87
1359,2018-05-31,NorthEastern,30.13,30.54,,,13.75,18.05
1360,2018-06-01,Northern,649.77,706.63,30.83,34.51,303.99,249.64
1361,2018-06-01,Western,"1,156.93","1,292.17",25.07,32.84,16.99,25.01
1362,2018-06-01,Southern,600.53,603.25,63.17,46.74,38.45,43.49
1363,2018-06-01,Eastern,469.15,483.39,,,53.41,58.0
1364,2018-06-01,NorthEastern,30.25,30.23,,,21.71,16.93
1365,2018-06-02,Northern,647.41,605.58,30.83,35.46,303.99,267.69
1366,2018-06-02,Western,"1,156.93","1,272.91",25.07,32.82,16.99,18.79
1367,2018-06-02,Southern,600.53,599.01,63.17,47.54,38.45,34.02
1368,2018-06-02,Eastern,469.15,507.59,,,53.41,63.95
1369,2018-06-02,NorthEastern,30.25,29.52,,,21.71,14.84
1370,2018-06-03,Northern,647.41,602.32,30.83,34.58,303.99,294.3
1371,2018-06-03,Western,"1,156.93","1,209.11",25.07,6.88,16.99,10.44
1372,2018-06-03,Southern,600.53,550.42,63.17,47.3,38.45,28.46
1373,2018-06-03,Eastern,469.15,487.41,,,53.41,68.46
1374,2018-06-03,NorthEastern,30.25,29.99,,,21.71,16.78
1375,2018-06-04,Northern,651.38,678.10,30.83,34.44,303.99,305.08
1376,2018-06-04,Western,"1,156.67","1,244.30",25.07,32.43,16.99,18.1
1377,2018-06-04,Southern,600.53,556.96,63.17,47.29,38.45,40.36
1378,2018-06-04,Eastern,469.15,525.96,,,53.41,64.55
1379,2018-06-04,NorthEastern,30.25,32.50,,,21.71,15.13
1380,2018-06-05,Northern,651.38,689.01,30.83,34.43,303.99,307.86
1381,2018-06-05,Western,"1,156.67","1,270.90",25.07,31.93,16.99,13.37
1382,2018-06-05,Southern,600.53,552.27,63.17,48.24,38.45,38.63
1383,2018-06-05,Eastern,469.15,524.25,,,53.41,69.79
1384,2018-06-05,NorthEastern,30.25,32.70,,,21.71,15.72
1385,2018-06-06,Northern,651.38,630.30,30.83,34.43,303.99,316.05
1386,2018-06-06,Western,"1,166.67","1,258.31",25.07,31.86,16.99,17.97
1387,2018-06-06,Southern,604.53,527.48,63.17,47.44,38.45,35.51
1388,2018-06-06,Eastern,469.15,511.67,,,53.41,71.48
1389,2018-06-06,NorthEastern,30.25,32.19,,,21.71,16.49
1390,2018-06-07,Northern,663.59,662.52,30.83,34.58,303.99,259.48
1391,2018-06-07,Western,"1,162.17","1,248.36",25.07,31.85,16.99,16.88
1392,2018-06-07,Southern,604.53,501.49,63.17,48.17,38.45,29.5
1393,2018-06-07,Eastern,469.15,501.19,,,53.41,76.04
1394,2018-06-07,NorthEastern,30.25,31.07,,,21.71,18.21
1395,2018-06-08,Northern,663.59,661.81,30.83,31.77,303.99,306.63
1396,2018-06-08,Western,"1,162.17","1,124.73",25.07,6.82,16.99,9.97
1397,2018-06-08,Southern,604.53,484.09,63.17,42.5,38.45,23.51
1398,2018-06-08,Eastern,469.15,477.02,,,53.41,67.67
1399,2018-06-08,NorthEastern,30.25,31.94,,,21.71,16.52
1400,2018-06-09,Northern,663.59,573.06,30.83,29.5,303.99,300.49
1401,2018-06-09,Western,"1,165.40",967.00,25.07,31.88,16.99,12.09
1402,2018-06-09,Southern,604.53,448.11,63.17,47.73,38.45,31.75
1403,2018-06-09,Eastern,472.92,446.31,,,53.41,65.61
1404,2018-06-09,NorthEastern,30.25,31.01,,,21.71,15.9
1405,2018-06-10,Northern,671.90,530.41,30.83,30.2,303.99,305.43
1406,2018-06-10,Western,"1,165.40","1,031.10",25.07,32.91,16.99,8.56
1407,2018-06-10,Southern,604.53,403.70,63.17,48.13,38.45,39.58
1408,2018-06-10,Eastern,472.92,420.78,,,53.41,64.56
1409,2018-06-10,NorthEastern,30.25,31.60,,,21.71,14.53
1410,2018-06-11,Northern,667.80,607.20,30.83,33.74,303.99,320.49
1411,2018-06-11,Western,"1,165.40","1,154.16",25.07,32.93,16.99,12.17
1412,2018-06-11,Southern,604.53,417.34,63.17,48.32,38.45,51.39
1413,2018-06-11,Eastern,472.92,451.72,,,53.41,65.75
1414,2018-06-11,NorthEastern,30.25,30.15,,,21.71,15.94
1415,2018-06-12,Northern,667.80,651.67,30.83,33.47,303.99,397.38
1416,2018-06-12,Western,"1,159.95","1,137.67",25.07,32.92,16.99,13.19
1417,2018-06-12,Southern,604.53,431.26,63.17,48.32,38.45,51.51
1418,2018-06-12,Eastern,469.74,461.16,,,53.41,60.64
1419,2018-06-12,NorthEastern,30.25,30.03,,,21.71,18.4
1420,2018-06-13,Northern,667.80,648.18,30.83,24.08,303.99,334.69
1421,2018-06-13,Western,"1,150.87","1,079.67",25.07,32.83,16.99,13.79
1422,2018-06-13,Southern,604.53,431.12,63.17,47.37,38.45,53.25
1423,2018-06-13,Eastern,469.74,467.83,,,53.41,66.02
1424,2018-06-13,NorthEastern,30.25,27.60,,,21.71,25.28
1425,2018-06-14,Northern,667.80,658.22,30.83,24.4,303.99,288.77
1426,2018-06-14,Western,"1,150.87","1,066.93",25.07,32.88,16.99,21.32
1427,2018-06-14,Southern,604.53,468.01,63.17,48.35,38.45,67.34
1428,2018-06-14,Eastern,469.74,467.11,,,53.41,72.36
1429,2018-06-14,NorthEastern,30.25,28.28,,,21.71,26.4
1430,2018-06-15,Northern,667.80,672.15,30.83,24.47,303.99,308.07
1431,2018-06-15,Western,"1,153.43","1,163.52",25.07,32.87,16.99,17.2
1432,2018-06-15,Southern,581.60,501.66,63.17,48.34,38.45,58.46
1433,2018-06-15,Eastern,469.74,480.35,,,53.41,72.96
1434,2018-06-15,NorthEastern,30.25,28.58,,,21.71,27.87
1435,2018-06-16,Northern,667.80,643.51,30.83,33.99,303.99,310.01
1436,2018-06-16,Western,"1,138.23","1,163.32",25.07,32.88,16.99,10.16
1437,2018-06-16,Southern,585.20,492.54,63.17,48.37,38.45,50.41
1438,2018-06-16,Eastern,469.74,479.14,,,53.41,77.03
1439,2018-06-16,NorthEastern,30.25,27.92,,,21.71,28.76
1440,2018-06-17,Northern,667.80,534.96,30.83,34.56,303.99,280.67
1441,2018-06-17,Western,"1,138.23","1,139.35",25.07,32.6,16.99,8.94
1442,2018-06-17,Southern,585.20,454.53,63.17,47.64,38.45,45.06
1443,2018-06-17,Eastern,469.74,445.32,,,53.41,67.91
1444,2018-06-17,NorthEastern,30.25,29.21,,,21.71,28.0
1445,2018-06-18,Northern,667.80,602.20,30.83,34.47,303.99,265.86
1446,2018-06-18,Western,"1,140.92","1,215.85",25.07,32.68,16.99,13.08
1447,2018-06-18,Southern,585.20,508.88,63.17,48.26,38.45,57.89
1448,2018-06-18,Eastern,469.74,469.73,,,53.41,73.35
1449,2018-06-18,NorthEastern,30.25,27.01,,,21.71,27.46
1450,2018-06-19,Northern,667.94,681.48,30.83,34.51,303.99,211.88
1451,2018-06-19,Western,"1,140.92","1,216.16",25.07,32.66,16.99,34.26
1452,2018-06-19,Southern,585.20,560.83,63.17,47.65,38.45,59.83
1453,2018-06-19,Eastern,469.74,483.10,,,53.41,78.1
1454,2018-06-19,NorthEastern,30.25,30.94,,,21.71,24.8
1455,2018-06-20,Northern,664.82,773.39,30.83,34.84,303.99,213.85
1456,2018-06-20,Western,"1,140.92","1,233.13",25.07,32.67,16.99,33.98
1457,2018-06-20,Southern,585.20,569.83,63.17,47.79,38.45,75.48
1458,2018-06-20,Eastern,469.74,490.76,,,53.41,72.12
1459,2018-06-20,NorthEastern,30.25,30.74,,,21.71,22.42
1460,2018-06-21,Northern,664.82,797.59,30.83,34.55,303.99,250.69
1461,2018-06-21,Western,"1,125.32","1,259.65",25.07,32.55,16.99,20.58
1462,2018-06-21,Southern,585.60,562.34,63.17,47.7,38.45,67.64
1463,2018-06-21,Eastern,476.94,498.97,,,53.41,71.52
1464,2018-06-21,NorthEastern,30.25,32.10,,,21.71,21.98
1465,2018-06-22,Northern,665.68,805.07,30.83,30.78,303.99,263.56
1466,2018-06-22,Western,"1,125.32","1,254.07",25.07,32.84,16.99,9.88
1467,2018-06-22,Southern,584.98,580.26,63.17,48.37,38.45,60.64
1468,2018-06-22,Eastern,476.94,510.59,,,53.41,68.62
1469,2018-06-22,NorthEastern,30.25,32.01,,,21.71,23.04
1470,2018-06-23,Northern,665.68,812.84,30.83,29.1,303.99,274.78
1471,2018-06-23,Western,"1,125.32","1,241.67",25.07,32.2,16.99,11.27
1472,2018-06-23,Southern,571.34,540.37,63.17,47.68,38.45,49.1
1473,2018-06-23,Eastern,476.94,512.14,,,53.41,70.7
1474,2018-06-23,NorthEastern,30.25,32.74,,,21.71,25.32
1475,2018-06-24,Northern,665.68,787.34,30.83,29.6,303.99,267.82
1476,2018-06-24,Western,"1,136.32","1,166.62",25.07,32.26,16.99,8.6
1477,2018-06-24,Southern,567.99,481.63,63.17,47.56,38.45,46.67
1478,2018-06-24,Eastern,473.11,480.27,,,53.41,68.84
1479,2018-06-24,NorthEastern,30.25,31.15,,,21.71,23.25
1480,2018-06-25,Northern,658.72,802.55,30.83,29.56,303.99,277.74
1481,2018-06-25,Western,"1,140.27","1,193.55",25.07,32.45,16.99,8.95
1482,2018-06-25,Southern,567.99,505.96,63.17,47.18,38.45,45.81
1483,2018-06-25,Eastern,464.19,486.52,,,53.41,66.77
1484,2018-06-25,NorthEastern,30.25,30.60,,,21.71,24.11
1485,2018-06-26,Northern,658.72,746.82,30.83,29.67,303.99,288.2
1486,2018-06-26,Western,"1,146.67","1,148.05",25.07,32.45,16.99,13.61
1487,2018-06-26,Southern,576.99,492.81,63.17,45.76,38.45,42.75
1488,2018-06-26,Eastern,463.11,474.31,,,53.41,65.96
1489,2018-06-26,NorthEastern,30.25,30.55,,,21.71,23.56
1490,2018-06-27,Northern,658.72,672.74,30.83,32.51,303.99,278.12
1491,2018-06-27,Western,"1,162.72","1,161.58",25.07,32.45,16.99,10.81
1492,2018-06-27,Southern,576.99,478.64,63.17,46.51,38.45,50.15
1493,2018-06-27,Eastern,463.11,470.65,,,53.41,63.13
1494,2018-06-27,NorthEastern,30.25,31.39,,,21.71,22.11
1495,2018-06-28,Northern,658.72,529.28,30.83,34.33,303.99,286.18
1496,2018-06-28,Western,"1,162.72","1,156.58",25.07,32.87,16.99,16.04
1497,2018-06-28,Southern,576.99,488.32,63.17,46.76,38.45,61.18
1498,2018-06-28,Eastern,463.11,453.89,,,53.41,61.54
1499,2018-06-28,NorthEastern,30.25,30.99,,,21.71,24.14
1500,2018-06-29,Northern,658.72,555.63,30.83,34.64,303.99,285.19
1501,2018-06-29,Western,"1,162.72","1,159.51",25.07,32.85,16.99,18.69
1502,2018-06-29,Southern,572.88,522.63,63.17,46.15,38.45,68.87
1503,2018-06-29,Eastern,463.11,477.29,,,53.41,63.37
1504,2018-06-29,NorthEastern,30.25,31.26,,,21.71,23.18
1505,2018-06-30,Northern,658.72,593.23,30.83,33.85,303.99,312.89
1506,2018-06-30,Western,"1,162.72","1,214.00",25.07,31.8,16.99,20.44
1507,2018-06-30,Southern,572.88,521.42,63.17,46.19,38.45,72.63
1508,2018-06-30,Eastern,463.11,499.53,,,53.41,58.76
1509,2018-06-30,NorthEastern,30.25,31.00,,,21.71,23.25
1510,2018-07-01,Northern,645.49,572.79,30.72,30.37,314.44,325.24
1511,2018-07-01,Western,"1,094.62","1,188.11",14.06,30.07,21.91,11.66
1512,2018-07-01,Southern,544.82,507.82,40.09,47.04,62.52,57.36
1513,2018-07-01,Eastern,454.23,477.82,,,69.16,57.44
1514,2018-07-01,NorthEastern,30.10,30.84,,,30.46,23.88
1515,2018-07-02,Northern,645.30,575.61,30.72,29.97,314.44,328.83
1516,2018-07-02,Western,"1,094.62","1,173.11",14.06,28.26,21.91,16.26
1517,2018-07-02,Southern,544.82,491.86,40.09,45.96,62.52,50.9
1518,2018-07-02,Eastern,454.23,471.39,,,69.16,64.17
1519,2018-07-02,NorthEastern,30.10,30.34,,,30.46,25.77
1520,2018-07-03,Northern,644.14,560.86,30.72,30.29,314.44,332.48
1521,2018-07-03,Western,"1,094.62","1,097.23",14.06,28.82,21.91,12.12
1522,2018-07-03,Southern,544.82,497.77,40.09,46.38,62.52,45.72
1523,2018-07-03,Eastern,449.73,449.38,,,69.16,64.57
1524,2018-07-03,NorthEastern,30.10,29.88,,,30.46,29.01
1525,2018-07-04,Northern,644.14,524.93,30.72,30.51,314.44,325.38
