SNo,Date,StartupName,IndustryVertical,SubVertical,City,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,yearmonth,CleanedAmount
2626,20/07/2015,Zo Rooms,Online budget hotel chain,nan,NCR,"Tiger Global, Orios Venture Partners.",Private Equity,"1,50,00,000",No confirmation,2015,2015-07-01,15000000.0
2627,20/07/2015,Innoviti,Payment Solutions platform,nan,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,"48,50,000",Series A,2015,2015-07-01,4850000.0
2628,21/07/2015,ZenRadius,Online Hiring Platform,nan,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,nan,nan,2015,2015-07-01,-999.0
2629,21/07/2015,Joy by nature,Organic Food ecommerce,nan,NCR,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"10,00,000",Series A,2015,2015-07-01,1000000.0
2630,22/07/2015,Iqlect,Big Data & Analytics platform,nan,Bangalore,Exfinity Venture Partners,Private Equity,"20,00,000",Series A,2015,2015-07-01,2000000.0
2631,22/07/2015,deGustibus,Fine Dining Restaurant Chain,nan,Mumbai,India Value Fund Advisors,Private Equity,"3,00,00,000",Late Stage,2015,2015-07-01,30000000.0
2632,23/07/2015,Nestaway,Luxury Rental Homes,nan,Bangalore,"Flipkart, Tiger Global",Private Equity,"1,27,50,000",Series A,2015,2015-07-01,12750000.0
2633,23/07/2015,Mswipe,Mobile Point of Sale payment solution,nan,nan,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,"2,50,00,000",Series B,2015,2015-07-01,25000000.0
2634,23/07/2015,Myonsto,Online Grocers,nan,Ahmedabad,Jayant Bokadia,Seed Funding,"3,20,000",nan,2015,2015-07-01,320000.0
2635,23/07/2015,iCrushiFlush,Casual Dating App,nan,Mumbai,IDG Ventures India,Seed Funding,nan,nan,2015,2015-07-01,-999.0
2636,23/07/2015,MedGenome,Clinical Genomics Provider,nan,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000",Series B,2015,2015-07-01,20000000.0
2637,23/07/2015,HolidayIQ,Travel information portal,nan,Bangalore,MakeMyTrip,Private Equity,"1,50,00,000",Strategic Investment,2015,2015-07-01,15000000.0
2638,23/07/2015,Fitternity,Fitness Marketplace,nan,Mumbai,Exfinity Venture Partners,Private Equity,"10,00,000",Series A,2015,2015-07-01,1000000.0
2639,23/07/2015,Quikr,Online & Mobile classified listings,nan,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,"6,00,00,000",Late Stage,2015,2015-07-01,60000000.0
2640,23/07/2015,JetSetGo,Private Jet/ Helicopter Marketplace,nan,NCR,YourWeCan Ventures,Seed Funding,nan,nan,2015,2015-07-01,-999.0
2641,24/07/2015,BroEx,Real Estate Broker network App,nan,NCR,Lightspeed India,Private Equity,"10,00,000",Bridge round,2015,2015-07-01,1000000.0
2642,25/07/2015,Shopatplaces,Ethnic/ Traditional Fashion Store,nan,NCR,Indian Angel Network,Seed Funding,nan,nan,2015,2015-07-01,-999.0
2643,25/07/2015,CredR,Used Bikes Marketplace,nan,Mumbai,Fidelity Growth Partners,Private Equity,"1,50,00,000",Series A,2015,2015-07-01,15000000.0
2644,27/07/2015,ManageMySpa,Spa & Salon Management Software,nan,Hyderabad,Accel Partners,Private Equity,"60,00,000",Series A,2015,2015-07-01,6000000.0
2645,27/07/2015,Townrush,B2B logistics delivery platform,nan,Bangalore,Lightspeed Venture Partners,Seed Funding,nan,nan,2015,2015-07-01,-999.0
2646,27/07/2015,Locus,Logistics Automation Platform,nan,Bangalore,"growX ventures, Manish Singhal",Seed Funding,nan,nan,2015,2015-07-01,-999.0
2647,27/07/2015,Bevy,Online Hiring Platform,nan,Bangalore,Varun Agarwal & Others,Seed Funding,nan,nan,2015,2015-07-01,-999.0
2648,28/07/2015,Pepperfry,Online home d\\xc3\\xa9cor marketplace,nan,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,"10,00,00,000",Series D,2015,2015-07-01,100000000.0
2649,28/07/2015,Flipkart.com,Online Marketplace,nan,Bangalore,Steadview Capital and existing investors,Private Equity,"70,00,00,000","Late Stage, 10th Round More here",2015,2015-07-01,700000000.0
2650,28/07/2015,Opinio,Hyperlocal food & grocery store,nan,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"13,00,000",nan,2015,2015-07-01,1300000.0
2651,28/07/2015,Zoctr,Health-Tech platform,nan,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"10,00,000",nan,2015,2015-07-01,1000000.0
2652,29/07/2015,Zimmber,Hyperlocal Handyman Services,nan,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures, Mohandas Pai",Private Equity,"20,00,000",Series A,2015,2015-07-01,2000000.0
2653,29/07/2015,trueHb,Medical Tech Instruments,nan,NCR,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"24,00,000",nan,2015,2015-07-01,2400000.0
2654,29/07/2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,nan,Bangalore,"Paytm, SAIF Partners, Tiger Global Management & others",Private Equity,"5,00,00,000",Series A,2015,2015-07-01,50000000.0
2655,29/07/2015,Swajal,Innovative Water Solutions,nan,NCR,Abhishek Gupta,Private Equity,"12,00,000",Series A,2015,2015-07-01,1200000.0
2656,30/07/2015,Pipa Bella,Online Jewelry Store,nan,Mumbai,LionRock Capital,Private Equity,"6,00,000",Pre-Series A,2015,2015-07-01,600000.0
2657,30/07/2015,Pragmatix,Business intelligence & Analytics,nan,Mumbai,SIDBI Venture Capital Ltd,Private Equity,"24,00,000",Series A,2015,2015-07-01,2400000.0
2658,30/07/2015,Droom.in,Used Vehicle Marketplace,nan,NCR,"Lightbox Ventures, Beenos",Private Equity,"1,60,00,000",Series A,2015,2015-07-01,16000000.0
2659,30/07/2015,MadRat Games,Educational Board Games,nan,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"1,68,000",nan,2015,2015-07-01,168000.0
2660,30/07/2015,Noodle Play,Chinese food delivery,nan,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"1,68,000",nan,2015,2015-07-01,168000.0
2661,30/07/2015,Wassup,On-Demand Laundry & Dry cleaning App,nan,Chennai,B S Nagesh,Private Equity,nan,Pre-Series A,2015,2015-07-01,-999.0
2662,30/07/2015,Cartisan,On-Demand Car services App,nan,Bangalore,"YouWeCan Ventures, Aprameya Radhakrishna",Seed Funding,nan,nan,2015,2015-07-01,-999.0
2663,31/07/2015,LazyLad,Hyperlocal Grocery App,nan,NCR,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,"5,00,000",pre-Series A,2015,2015-07-01,500000.0
2664,31/07/2015,TripFactory,Online Curated Holiday package bookings,nan,Bangalore,"Aarin Capital Partners,",Private Equity,nan,Series A,2015,2015-07-01,-999.0
2665,31/07/2015,Prothom,Hasbro Toy Manufacturer,nan,Pune,Oliphabs Capital,Private Equity,"20,00,000",Series A,2015,2015-07-01,2000000.0
2666,31/07/2015,Bona Vita,Travel Tech,nan,NCR,MakeMyTrip,Private Equity,"50,00,000",Strategic Investment,2015,2015-07-01,5000000.0
2667,01/06/2015,Vyomo,Beauty and Wellness Platform,nan,NCR,Aprameya Radhakrishna,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2668,01/06/2015,Veeba Foods,Healthy Food Manufacturer,nan,NCR,"DSG Consumer Partners, Saama Capital.",Private Equity,"60,00,000",Series B,2015,2015-06-01,6000000.0
2669,01/06/2015,Truebil,Used Car Marketplace,nan,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2670,01/06/2015,Meritnation,Online Learning Platform,nan,NCR,InfoEdge,Private Equity,"40,00,000",Series C,2015,2015-06-01,4000000.0
2671,01/06/2015,Eattreatonline,Healthy Food Online Community,nan,NCR,Group of 15 Angel Investors,Seed Funding,"3,50,000",nan,2015,2015-06-01,350000.0
2672,01/06/2015,CredR,Used two-wheeler Marketplace,nan,Mumbai,GrowthStory,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2673,01/06/2015,Glamrs,Online Fashion Video Portal,nan,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"10,00,000",Pre-Series A,2015,2015-06-01,1000000.0
2674,01/06/2015,Proviera,Probiotic Technology Products Manufacturer,nan,Chennai,Infuse Ventures,Private Equity,"5,50,000",nan,2015,2015-06-01,550000.0
2675,01/06/2015,Arth DesignBuild,Architectural Design & Consulting,nan,Hyderabad,Srinivas Tirupati,Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2676,02/06/2015,Saama,Big Data & Analytics Services,nan,Pune / US,Carrick Capital Partners,Private Equity,"3,50,00,000",Series A,2015,2015-06-01,35000000.0
2677,02/06/2015,AllIzHealth,Preventive Healthcare Services,nan,Pune,Mumbai Angels & Other angel investors,Seed Funding,"3,50,000",nan,2015,2015-06-01,350000.0
2678,02/06/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,nan,Udaipur,Ennovent Impact Investment Holding,Private Equity,nan,Series A,2015,2015-06-01,-999.0
2679,03/06/2015,Entropy Innovations,Engineering Innovations,nan,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2680,03/06/2015,Propstack,Real Estate Intelligence Platform,nan,Mumbai,DMG Information,Private Equity,"30,00,000",Series A,2015,2015-06-01,3000000.0
2681,03/06/2015,MyTaxiIndia,Online Car Rental Affiliates,nan,NCR,Green House Ventures,Seed Funding,"1,00,000",nan,2015,2015-06-01,100000.0
2682,03/06/2015,Arkin Net,Data Center Software platform,nan,Pune / US,Nexus Venture Partners,Private Equity,"1,50,00,000",Series B,2015,2015-06-01,15000000.0
2683,03/06/2015,Little Black Book Delhi,Online City & Lifestyle Guide,nan,NCR,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"1,50,000",nan,2015,2015-06-01,150000.0
2684,03/06/2015,MyPoolin,P2P Payments platform,nan,NCR,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra, Arjun Malhotra, Gautam Gandhi",Seed Funding,nan,nan,2015,2015-06-01,-999.0
2685,03/06/2015,iCustomadeit,Bespoke Merchandize Marketplace,nan,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"2,50,000",nan,2015,2015-06-01,250000.0
2686,03/06/2015,KAARYAH,Women Lifestyle Marketplace,nan,NCR,Ratan Tata,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2687,04/06/2015,Ecom Express,Logistics Solution Provider,nan,NCR,Warburg Pincus,Private Equity,"13,70,00,000",Series C,2015,2015-06-01,137000000.0
2688,04/06/2015,Vidooly,Video Intelligence Platform,nan,NCR,Bessemer Venture Partners,Private Equity,"10,00,000",Pre-Series A,2015,2015-06-01,1000000.0
2689,04/06/2015,Zopper,Hyperlocal Shopping App,nan,Mumbai,"Tiger Global, Nirvana Ventures Advisors",Private Equity,"2,00,00,000",Series C,2015,2015-06-01,20000000.0
2690,04/06/2015,Flipkart,eCommerce platform,nan,Bangalore,Morgan Stanley,Private Equity,"5,00,00,000",Late Stage,2015,2015-06-01,50000000.0
2691,05/06/2015,kWatt Solutions,Renewable energy solutions,nan,Mumbai,nan,Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2692,05/06/2015,Medwell Ventures,Healthcare\\nService provider,nan,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"1,00,00,000",Series A,2015,2015-06-01,10000000.0
2693,05/06/2015,Jugnoo,Auto Rickshaw Based Services,nan,Chandigarh,"Snow Leopard, Paytm",Private Equity,"50,00,000",Series A,2015,2015-06-01,5000000.0
2694,08/06/2015,PosterGully,Artist / Designer Marketplace,nan,NCR,"Natarajan Iyer,Rajesh Sawhney, & other Angel investors.",Seed Funding,nan,nan,2015,2015-06-01,-999.0
2695,08/06/2015,Applied Solar Technologies,Off-grid Solar Power,nan,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"4,00,00,000",Series B,2015,2015-06-01,40000000.0
2696,09/06/2015,Clovia,Private Label lingerie Ecommerce,nan,NCR,IvyCap Ventures,Private Equity,"50,00,000",Series A,2015,2015-06-01,5000000.0
2697,09/06/2015,Swiggy,Online Food Ordering,nan,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"1,65,00,000",Series B,2015,2015-06-01,16500000.0
2698,09/06/2015,PayMango,Mobile Commerce Platform,nan,NCR,Group of Angel Investors,Seed Funding,"2,34,000",nan,2015,2015-06-01,234000.0
2699,09/06/2015,Printland,Online Printing Services,nan,NCR,SIDBI Venture Capital Ltd,Private Equity,nan,Series A,2015,2015-06-01,-999.0
2700,09/06/2015,Teritree,Digital Marketing Services,nan,Bangalore,KCL,Seed Funding,"1,40,000",nan,2015,2015-06-01,140000.0
2701,10/06/2015,Guiddoo,Travel Guide Mobile App,nan,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,nan,nan,2015,2015-06-01,-999.0
2702,10/06/2015,Voonik,Fashion Ecommerce store,nan,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"50,00,000",Series A,2015,2015-06-01,5000000.0
2703,11/06/2015,AdStringO,Mobile Compression Software,nan,Mumbai,"Arihant Patni, Vishal Khare, Viswanath Ramachandran",Seed Funding,"3,50,000",nan,2015,2015-06-01,350000.0
2704,11/06/2015,Faircent.com,Peer to Peer Lending platform,nan,NCR,M&S Partners Pte. Ltd,Seed Funding,"2,50,000",Pre-Series A,2015,2015-06-01,250000.0
2705,12/06/2015,La Renon,Global Healthcare products,nan,Ahmedabad,Sequoia Capital,Private Equity,"1,60,00,000",Series A,2015,2015-06-01,16000000.0
2706,15/06/2015,Homelane,Home Furnishing Solutions,nan,Bangalore,Sequoia Capital,Private Equity,"5,00,00,000",Series B,2015,2015-06-01,50000000.0
2707,15/06/2015,iSTAR,Skill Training & Placement Platform,nan,Bangalore,Unitus Seed Fund,Private Equity,nan,Series A,2015,2015-06-01,-999.0
2708,15/06/2015,Shippr,Intra-City Logistics service,nan,Bangalore,i2india Pvt Ltd,Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2709,16/06/2015,FoodAbhi,online tiffin service aggregator,nan,Mumbai,Group of angel investors,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2710,16/06/2015,Karma Recycling,Electronic Goods recycling service,nan,NCR,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,nan,Series A,2015,2015-06-01,-999.0
2711,16/06/2015,CouponRaja,Online Coupon & comparison platform,nan,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2712,17/06/2015,Babychakra,Parents & Kids Online platform,nan,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,nan,nan,2015,2015-06-01,-999.0
2713,17/06/2015,Jiffstore,Online Grocery platform,nan,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,nan,additional funding round,2015,2015-06-01,-999.0
2714,17/06/2015,MyDentist,Dental Clinic chain,nan,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"82,00,000",Series C,2015,2015-06-01,8200000.0
2715,18/06/2015,Moovo,On-Demand Logistics Service,nan,NCR,YouWeCan Ventures,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2716,18/06/2015,Fracktal Works,3D Printer Manufacturer,nan,Bangalore,Neoteric Infomatique Limited,Private Equity,"30,00,000",Series A,2015,2015-06-01,3000000.0
2717,18/06/2015,Hansa Customer Equity,IT / Customer Engagement Consulting,nan,Mumbai,ASK Pravi,Private Equity,"50,00,000",Series A,2015,2015-06-01,5000000.0
2718,18/06/2015,HealthifyMe,Health & Fitness App,nan,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,nan,Series A,2015,2015-06-01,-999.0
2719,18/06/2015,CAKART.in,Online Education Marketplace,nan,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2720,19/06/2015,Housejoy,Home services marketplace,nan,Bangalore,Matrix Partners,Private Equity,"40,00,000",Series A,2015,2015-06-01,4000000.0
2721,19/06/2015,FundsIndia.com,Financial Services Platform,nan,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"1,10,00,000",Series C,2015,2015-06-01,11000000.0
2722,20/06/2015,Cupick,Social Network for Artists,nan,Bangalore,Group of Angel Investors from US/India,Seed Funding,"1,20,000",nan,2015,2015-06-01,120000.0
2723,20/06/2015,Tracxn,Startup funding platform,nan,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"1,00,00,000",Series A,2015,2015-06-01,10000000.0
2724,21/06/2015,Holachef,Food Delivery Platform,nan,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"31,00,000",Series A,2015,2015-06-01,3100000.0
2725,22/06/2015,elong,Data Driven recruitment recommendation,nan,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"50,00,000",Series A,2015,2015-06-01,5000000.0
2726,22/06/2015,Ixigo,Travel Search Engine,nan,NCR,Micromax Informatics,Private Equity,nan,Strategic Investment,2015,2015-06-01,-999.0
2727,22/06/2015,SkillAngels,Brain Games Platform,nan,Chennai,Sprout Angels LLP,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2728,22/06/2015,Vidgyor,Video Advertisement Platform,nan,Bangalore,AngelPrime,Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2729,22/06/2015,Banihal,Algorithmic Match Making Platform,nan,New Delhi / California,Dr David Cheriton,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2730,23/06/2015,Goodservice,Mobile Chat based concierge service,nan,NCR,Sequoia Capital,Private Equity,"16,00,000",Series A,2015,2015-06-01,1600000.0
2731,23/06/2015,Treebo,Online Budget Hotel Booking Service,nan,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"60,00,000",Series A,2015,2015-06-01,6000000.0
2732,23/06/2015,EduKart,Online education marketplace,nan,NCR,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"10,00,000",Series A,2015,2015-06-01,1000000.0
2733,23/06/2015,Healthians.com,Preventive healthcare services,nan,Hyderabad,YouWeCan Ventures,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2734,24/06/2015,LabInApp,Science Learning App,nan,Bangalore,Unitus Seed Fund,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2735,24/06/2015,Syona Cosmetics,Beauty and Wellness platform,nan,Chennai,Chennai Angels,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2736,24/06/2015,Sigrid Education,Online Education Platform,nan,NCR,Oliphans Capital,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2737,24/06/2015,Indix,SaaS product intelligence platform,nan,nan,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"1,50,00,000",Series C,2015,2015-06-01,15000000.0
2738,24/06/2015,The Porter,Logistics Tech,nan,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"55,00,000",Series A,2015,2015-06-01,5500000.0
2739,24/06/2015,Retention.ai,App Analytics platform,nan,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"5,00,000",nan,2015,2015-06-01,500000.0
2740,25/06/2015,Fusion Microfinance,Micro Finance Platform,nan,NCR,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"86,00,000",Series C,2015,2015-06-01,8600000.0
2741,25/06/2015,Zinka,Freight logistics platform,nan,Bangalore,"Accel Partners, Flipkart",Private Equity,"60,00,000",Series A,2015,2015-06-01,6000000.0
2742,26/06/2015,CreditMantri,Credit Management Services,nan,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"25,00,000",Series A,2015,2015-06-01,2500000.0
2743,26/06/2015,GetMyPeon,Hyperlocal Handyman Services,nan,Mumbai,Undisclosed investors,Seed Funding,"2,50,000",nan,2015,2015-06-01,250000.0
2744,29/06/2015,UrbanClap,Hyperlocal services marketplace,nan,NCR,"SAIF Partners, Accel Partners",Private Equity,"1,00,00,000",Series A,2015,2015-06-01,10000000.0
2745,29/06/2015,StayGlad,Beauty services Mobile Marketplace,nan,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,nan,nan,2015,2015-06-01,-999.0
2746,29/06/2015,AdWyze,Marketing / Advertising Automation platform,nan,Bangalore,Mape Advisory,Seed Funding,"10,00,000",nan,2015,2015-06-01,1000000.0
2747,29/06/2015,Zimmber,Hyperlocal Handyman Services,nan,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"4,00,000",nan,2015,2015-06-01,400000.0
2748,30/06/2015,Buttercups,Online Lingerie platform,nan,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,nan,nan,2015,2015-06-01,-999.0
2749,30/06/2015,RailYatri,Railways Information Mobile app,nan,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,nan,Pre-Series A,2015,2015-06-01,-999.0
2750,30/06/2015,aagaar.com,Hyperlocal grocery delivery,nan,NCR,Group of Investors,Seed Funding,nan,nan,2015,2015-06-01,-999.0
2751,30/06/2015,Flatchat,Flat rental Mobile App,nan,Bangalore,Commonfloor,Private Equity,"25,00,000",Strategic Funding,2015,2015-06-01,2500000.0
2752,30/06/2015,MyCFO,Wealth Management Platform,nan,Mumbai,Sameer Koticha,Private Equity,"15,00,000",Series A,2015,2015-06-01,1500000.0
2753,01/05/2015,Foodpanda,Online Food Delivery,nan,NCR,"Goldman Sachs, Rocket Internet",Private Equity,"10,00,00,000",Series D,2015,2015-05-01,100000000.0
2754,01/05/2015,Termsheet,Fund Raising Platform,nan,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"1,00,000",nan,2015,2015-05-01,100000.0
2755,04/05/2015,Applicate,Workforce Management Software,nan,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"5,50,000",nan,2015,2015-05-01,550000.0
2756,04/05/2015,World Art Community,Online Art Marketplace,nan,NCR,Viraj Tyagi & others,Seed Funding,"2,00,000",nan,2015,2015-05-01,200000.0
2757,04/05/2015,SpoonJoy,Online Food Delivery,nan,Bangalore,SAIF Partners,Seed Funding,"10,00,000",nan,2015,2015-05-01,1000000.0
2758,05/05/2015,Seed Schools,Affordable Education,nan,Hyderabad,Acumen Fund,Seed Funding,"6,50,000",nan,2015,2015-05-01,650000.0
2759,05/05/2015,Ignis Careers,Career Development,nan,Hyderabad,Acumen Fund,Seed Funding,"2,50,000",nan,2015,2015-05-01,250000.0
2760,05/05/2015,Square Yards,Real Estate Advisory,nan,NCR,Undisclosed Investors,Private Equity,"60,00,000",pre-Series A,2015,2015-05-01,6000000.0
2761,05/05/2015,Fintellix,Banking Analytics Platform,nan,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"1,50,00,000",Series C,2015,2015-05-01,15000000.0
2762,05/05/2015,Customer360,Customer Engagement Platform,nan,Mumbai,Vishwas Patel,Seed Funding,nan,nan,2015,2015-05-01,-999.0
2763,06/05/2015,Delhivery,Ecommerce Logistics,nan,NCR,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"8,50,00,000",Series D,2015,2015-05-01,85000000.0
2764,06/05/2015,Swiggy,Online Food Delivery,nan,Bangalore,Norwest Venture Partners,Private Equity,"1,50,00,000",Series B,2015,2015-05-01,15000000.0
2765,07/05/2015,Uniphore,Speech Recognition Solutions,nan,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,nan,Series A,2015,2015-05-01,-999.0
2766,07/05/2015,Box8,Online Food Delivery,nan,Mumbai,Mayfield Ventures,Private Equity,"35,00,000",Series A,2015,2015-05-01,3500000.0
2767,07/05/2015,Toppr,Online Education Platform,nan,Mumbai,"Fidelity Growth Partners India, SAIF Partners, Helion Ventures",Private Equity,"1,00,00,000",Series B,2015,2015-05-01,10000000.0
2768,07/05/2015,Vedantu,Online Education Platform,nan,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"50,00,000",Series A,2015,2015-05-01,5000000.0
2769,08/05/2015,BuyHatke,Online Product Comparison,nan,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"10,00,000",nan,2015,2015-05-01,1000000.0
2770,08/05/2015,KleverKid,Online Education Platform,nan,NCR,Aarin Capital Partners,Seed Funding,nan,nan,2015,2015-05-01,-999.0
2771,08/05/2015,Uniken,Online Security Platform,nan,Pune,Exfinity Ventures,Private Equity,"20,00,000",Bridge Round Pre-Series B,2015,2015-05-01,2000000.0
2772,08/05/2015,GrandOpinion,Online Medical Diagnostic,nan,NCR,Florida based Angel investor,Seed Funding,"1,50,000",nan,2015,2015-05-01,150000.0
2773,08/05/2015,HealthifyMe,Health & Fitness App,nan,Bangalore,Micromax Informatics,Private Equity,nan,Strategic Investment,2015,2015-05-01,-999.0
2774,12/05/2015,ZapStitch,Cloud Data Integration Platform,nan,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"20,00,000",Pre-Series A,2015,2015-05-01,2000000.0
2775,12/05/2015,Wassup,Mobile Laundry Cleaning Service,nan,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"20,00,000",Pre-Series A,2015,2015-05-01,2000000.0
2776,12/05/2015,Mobiefit,Mobile Fitness App,nan,Goa,Prototyze,Seed Funding,nan,nan,2015,2015-05-01,-999.0
2777,12/05/2015,Plancess,Online Education Platform,nan,Mumbai,"Rajendra Gogri, Chandrakant Gogri",Seed Funding,"20,00,000",nan,2015,2015-05-01,2000000.0
2778,12/05/2015,WorkHorse,Service-On-Demand Mobile App,nan,Mumbai,Undisclosed Investors,Seed Funding,nan,nan,2015,2015-05-01,-999.0
2779,13/05/2015,Innovaccer,Intelligent Data Analytics,nan,NCR,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,nan,nan,2015,2015-05-01,-999.0
2780,13/05/2015,MyCuteOffice,Online Office Rental,nan,Mumbai,Lead Angels,Seed Funding,nan,nan,2015,2015-05-01,-999.0
2781,14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,nan,NCR,KJS Group,Private Equity,"50,00,000",Series B,2015,2015-05-01,5000000.0
2782,14/05/2015,RedPolka,Online Fashion Aggregator,nan,Mumbai,Undisclosed Investors,Seed Funding,"2,50,000",nan,2015,2015-05-01,250000.0
2783,15/05/2015,Venturesity,Online Job skills Showcase,nan,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"2,70,000",nan,2015,2015-05-01,270000.0
2784,18/05/2015,TheBetterIndia.com,Online News Media,nan,Bangalore,Mohandas Pai,Seed Funding,nan,Pre-Series Bridge,2015,2015-05-01,-999.0
2785,18/05/2015,Awaaz De,Enterprise Communication Platform,nan,Ahmedabad,Samir Shah,Seed Funding,nan,nan,2015,2015-05-01,-999.0
